,지점명,일시,일강수량_sum_mm,일강수량_mean_mm,일강수량_std_mm,일강수량_max_mm,평균기온_mean_c,평균풍속_mean_ms,최저기온_min_c,최고기온_max_c,최대순간풍속_max_ms,최대순간풍속향_max_deg,집중호우일수
0,강남,2017,995.5,10.820652173913043,26.293209494165243,129.0,25.828260869565216,1.5771739130434779,14.6,37.2,19.1,351.6,5.0
1,강남,2018,523.0,5.684782608695652,17.06769285851668,98.0,27.096739130434763,1.5184782608695648,17.4,40.0,9.9,340.3,2.0
2,강남,2019,579.0,6.433333333333334,17.18557011637144,115.5,25.81777777777778,1.1388888888888888,13.9,37.7,10.4,343.1,1.0
3,강남,2020,1145.5,12.451086956521738,24.33421818406579,101.5,25.42282608695652,1.225274725274725,14.8,36.2,12.3,357.2,4.0
4,강남,2021,428.5,4.657608695652174,14.616701524269894,104.5,26.202173913043474,1.104347826086957,13.6,37.9,11.5,348.8,1.0
5,서초,2017,935.5,10.168478260869565,23.578286385309134,120.5,25.650000000000006,1.3336956521739125,13.5,36.5,7.8,357.2,3.0
6,서초,2018,502.5,5.461956521739131,18.01239403819214,97.5,26.975555555555548,1.4033333333333338,14.8,41.1,12.0,354.4,4.0
7,서초,2019,548.0,5.956521739130435,16.09392967500907,102.5,25.52608695652173,1.3445652173913043,13.1,37.1,9.7,354.4,1.0
8,서초,2020,1098.0,11.934782608695652,25.25107085002735,127.0,25.118478260869562,1.3086956521739128,13.0,36.6,11.9,357.2,4.0
9,서초,2021,490.0,5.326086956521739,14.805967534400382,104.5,25.84021739130435,1.2489130434782612,12.5,37.9,8.6,340.3,1.0
10,강동,2017,879.5,9.772222222222222,25.34316842893718,142.0,25.051162790697663,1.3022988505747128,13.5,35.4,11.7,357.2,5.0
11,강동,2018,504.0,5.478260869565218,17.151700816485587,84.5,26.448913043478274,1.4586956521739125,15.5,40.3,16.3,354.4,3.0
12,강동,2019,578.0,6.282608695652174,14.968337342211832,79.0,25.039130434782603,1.470652173913043,13.9,36.4,14.5,351.6,0.0
