지점	지점명	일시	평균기온(°C)	최저기온(°C)	최저기온 시각(hhmi)	최고기온(°C)	최고기온 시각(hhmi)	일강수량(mm)	최대 순간 풍속(m/s)	최대 순간풍속 시각(hhmi)	평균 풍속(m/s)	최대 순간 풍속 풍향(deg)
400	강남	2017-01-01	3.5	-.4	626	7	1532	0	3.3	611	1.3	73.1
400	강남	2017-01-02	6.2	3.7	2351	9.4	1411	0	5.8	1614	1.6	196.9
400	강남	2017-01-03	4	1.1	538	7.2	1325	0	5.6	1440	1.7	227.8
400	강남	2017-01-04	5.4	2.5	822	9.3	1522	0	6.5	1450	1.4	315
400	강남	2017-01-05	5	1.6	340	7.8	1509	0	6.5	1200	1.8	67.5
400	강남	2017-01-06	6.7	4.1	805	10.5	1442	0	4.5	1838	1.4	286.9
400	강남	2017-01-07	5.7	1.4	735	10.1	1534	0	3.3	1150	1.1	50.6
400	강남	2017-01-08	7.7	5.1	528	11.6	1431	0	6.5	2052	1.7	225
400	강남	2017-01-09	3	-.8	2341	5.4	1	0	7.2	1546	2.4	272.8
400	강남	2017-01-10	-1.7	-5.5	2343	2	1418	0	7.9	1338	2.4	261.6
400	강남	2017-01-11	-2.1	-5.9	646	1.6	1449	0	6.9	1501	1.8	309.4
400	강남	2017-01-12	-.8	-4.2	2341	2.4	1509	0	13.7	1423	2	236.3
400	강남	2017-01-13	-4.5	-6.8	2321	-1	1553	0	10.5	1942	2.1	292.5
400	강남	2017-01-14	-6.9	-9.1	853	-4.5	1506	0	9.6	1616	2.7	275.6
400	강남	2017-01-15	-4.9	-8.5	746	-1.1	1540	0	6	1322	1.7	239.1
400	강남	2017-01-16	-2.3	-7.2	830	2.7	1549	0	3.9	1851	1.2	272.8
400	강남	2017-01-17	-.7	-5.5	712	3.8	1536	0	3.7	1315	1.3	275.6
400	강남	2017-01-18	1	-1.4	853	3.3	1547	0	5.4	1442	1	42.2
400	강남	2017-01-19	.4	-2.9	721	4.6	1610	0	6.8	1719	1.3	267.2
400	강남	2017-01-20	-3.1	-5.5	2334	.5	53	2.5	8.2	1508	2.3	281.3
400	강남	2017-01-21	-3.9	-8.2	615	-.4	2318	1	8	2358	1.3	284.1
400	강남	2017-01-22	-6.9	-8.8	2312	-2	40	.5	8.9	1825	2.7	317.8
400	강남	2017-01-23	-7.2	-10.1	715	-4	1607	0	6.5	1316	2.1	241.9
400	강남	2017-01-24	-5.3	-9.5	713	-1.6	1535	0	5.8	1415	1.7	295.3
400	강남	2017-01-25	-3.4	-8.5	657	.6	1557	0	5.4	1433	1.5	241.9
400	강남	2017-01-26	-.5	-7	654	4.1	2340	0	8.8	2358	1.7	227.8
400	강남	2017-01-27	-1.3	-3.5	857	4.6	112	4	9.4	119	2.6	272.8
400	강남	2017-01-28	-.8	-6.4	738	4.1	1631	0	4.1	43	1.2	292.5
400	강남	2017-01-29	1.3	.2	2338	3.1	1040	5.5	5	2337	1.1	292.5
400	강남	2017-01-30	-3.5	-5.5	907	.2	1	0	8.2	846	2.4	275.6
400	강남	2017-01-31	-3.8	-8	625	-.1	1346	0	5.3	1435	1.6	247.5
400	강남	2017-02-01	-2.5	-5.6	2358	1	1322	0	7.9	1247	2.1	272.8
400	강남	2017-02-02	-1.3	-6.5	541	3.2	1559	0	7.9	1416	2.1	250.3
400	강남	2017-02-03	2.9	-.4	807	6.5	1446	0	5.1	1510	1.4	272.8
400	강남	2017-02-04	1.8	-1.4	611	3.8	1835	0	4	1032	1.2	59.1
400	강남	2017-02-05	2.4	.7	2333	3.4	537	.5	6.9	1711	1.6	253.1
400	강남	2017-02-06	-.4	-2.7	836	2.7	1633	0	7.7	147	2.4	286.9
400	강남	2017-02-07	-.4	-3.3	859	3.1	1617	0	4.5	1955	1.3	306.6
400	강남	2017-02-08	-.3	-2.4	707	2	1341	0	5.9	2125	1.5	289.7
400	강남	2017-02-09	-3.9	-5.3	812	-1.4	1333	0	9	1252	2.8	292.5
