"하천기본계획코드","하천기본계획 사업명","수립년도","수계명","하천명","본류명","지류명_1차","지류명_2차","지류명_3차","지류명_4차","지류명_5차","지류명_6차","지정일자","하천지정근거_고시번호","하천관리청","시점명","시점계획홍수량","시점계획홍수위","시점계획하폭","종점명","종점계획홍수량","종점계획홍수위","종점계획하폭","하천연장","비고"
"1500321201211","아라천 하천기본계획","","아라천","연결수로","아라천","","","","","","","2011-01-07","국토해양부 제2011-3호","국토해양부","인천광역시 계양구 귤현동 연결수로 기점(No.12)","1260","6.52","110","인천광역시 계양구 귤현동 연결수로 종점(No.0)","1275","6.68","110","1.200","아라천_연결수로"
"1025060201510","탄천 등 10개 하천기본계획","","한강","양재천","한강","탄천","양재천","","","","","1966-04-13","서울952호","서울특별시","서울시 서초구 우면동 749","489","27.28","47","서울시 강남구 대치동 74-4 탄천(지방) 합류점","646","18.01","193","8.230","양재천"
"1025080201510","탄천 등 10개 하천기본계획","","한강","여의천","한강","탄천","양재천","여의천","","","","1974-07-24","서울146호","서울특별시","서울시 서초구 신원동 산35 번지선","67","62.64","8","서울시 서초구 양재동 237 양재천(지방) 합류점","231","18.07","87","4.830","여의천"
"1024880201510","탄천 등 10개 하천기본계획","","한강","고덕천","한강","고덕천","","","","","","1974-07-24","서울146호","서울특별시","서울시 강동구 상일동 425-7번지  서울시 경기도계","127","22.91","48","서울시 강동구 고덕동 364-3 한강(국가) 합류점","384","19.84","60","3.540","고덕천"
"1024910201510","탄천 등 10개 하천기본계획","","한강","성내천","한강","성내천","","","","","","1971-12-30","서울268호","서울특별시","서울시 송파구 마천동 277-48번지 (서울경기도계)","36","58.49","5","서울시 송파구 신천동 6번지 한강(국가) 합류점","542","18.56","139","7.710","성내천"
"1024881201510","탄천 등 10개 하천기본계획","","한강","대사골천","한강","고덕천","대사골천","","","","","2011-03-31","서울시보3036호","서울특별시","서울시 강동구 상일동 443-5 번지선","24","24.42","5","서울시 강동구 상일동 360-10 고덕천(지방) 합류점","31","22.76","16","0.450","대사골천(하천코드 고덕천에서 인용) 당초 소하천으로 관리"
"1024920201510","탄천 등 10개 하천기본계획","","한강","감이천","한강","성내천","감이천","","","","","1965-03-01","경기3148호","서울특별시","서울시 송파구 방이동 436-53 (서울경기도계)","105","17.70","22","서울시 송파구 방이동 89 성내천(지방) 합류점","105","15.87","59","0.880","감이천"
"1025540201512","탄천 등 10개 하천기본계획","","한강","도림2지류","한강","안양천","도림천","도림2지류","","","","1971-12-30","서울268호","서울특별시","서울시 관악구 신림동 73-5","73","67.54","9","서울시 관악구 신림동 808-413 도림천(지방) 합류점","73","36.40","12","1.210","도림천 2지류"
"1024930201510","탄천 등 10개 하천기본계획","","한강","탄천","한강","탄천","","","","","","1971-12-30","서울268호","서울특별시","서울시 강남구 세곡동 13-4 서울 경기도계","1686","18.20","153","서울시 송파구 삼성동 111-24 한강(국가) 합류점","2198","18.01","485","8.810","탄천-서울시구간"
"1025500201510","안양천권역 하천기본계획","","한강","목감천","한강","안양천","목감천","","","","","1965-03-01","경기3148호","경기도","경기도 시흥시 논곡동","112","25.62","40","서울시 구로구 개봉동 안양천(국가) 합류점","210","14.17","43","12.330","목감천"
"1025050201510","탄천 등 10개 하천기본계획","","한강","세곡천","한강","탄천","세곡천","","","","","1974-07-24","서울146호","서울특별시","서울시 서초구 내곡동 1-2588번지선","25","67.56","7","서울시 서초구 내곡동 13-2  탄천(지방) 합류점","264","18.32","47","4.880","세곡천"
"1005380201510","안양천 하천기본계획(변경)","","한강","안양천","한강","안양천","","","","","","1963-04-01","대통령령제17315호","국토교통부","경기도 안양시 만안구 안양동 경부선철교","1390","25.19","141","서울시 영등포구 양평동 한강(국가)합류점","2440","13.32","185","20.470","안양천_국가"
"1025350201410","홍제천 등 4개 하천기본계획","","한강","홍제천","한강","홍제천","","","","","","1974-07-24","서울146호","서울시","서울시 종로구 평창동 복개시점부","77","105.87","17","서울시 서대문구 망원동 한강 합류점","639","13.54","110","11.130","홍제천-지방"
"1025360201410","홍제천 등 4개 하천기본계획","","한강","불광천","한강","홍제천","불광천","","","","","1974-07-24","서울146호","서울시","서울시 은평구 불광동 423-5번지","62","29.18","11","서울시 마포구 성산동 홍제천 합류점","352","13.54","75","7.320","불광천-지방"
"1025370201410","홍제천 등 4개 하천기본계획","","한강","녹번천","한강","홍제천","불광천","녹번천","","","","1971-12-30","서울268호","서울시","서울시 은평구 불광동 산42-1번지","63","70.41","9","서울시 은평구 역촌동 불광천 합류점","144","16.56","23","3.200","녹번천-지방"
"1025370201411","홍제천 등 4개 하천기본계획","","한강","녹번천지류","한강","홍제천","불광천","녹번천","녹번지류","","","","","","서울시 은평구 불광동 13-6번지","35","37.17","5","서울시 은평구 대조동 녹번천 합류점","35","22.83","6","1.225","녹번천지류-지방"
"1025340201410","홍제천 등 4개 하천기본계획","","한강","봉원천","한강","봉원천","","","","","","1974-07-24","서울146호","서울시","서울특별시 마포구 노고산동 31-123번지","77","14.53","9.600","서울특별시 마포구 신정동 한강(국가) 합류점","148","14.53","40.200","1.300","봉원천-지방"
"1025550201510","안양천권역 하천기본계획","","한강","봉천천","한강","안양천","도림천","봉천천","","","","1971-12-30","서울268호","서울특별시","서울시 관악구 봉천동 239-15번지","44","60.76","6","서울시 관악구 신림동 도림천(지방) 합류점","175","17.70","26","5","봉천천-지방"
"1025530201510","안양천권역 하천기본계획","","한강","오류천","한강","안양천","목감천","오류천","","","","1971-12-30","서울268호","서울특별시","서울시 구로구 궁동 252번지선","18","35.50","6","서울시 구로구 개봉동 목감천(지방) 합류점","127","8","10","4.850","오류천-지방"
"1025490201510","안양천권역 하천기본계획","","한강","시흥천","한강","안양천","시흥천","","","","","1971-12-30","서울268호","서울특별시","서울시 금천구 시흥동 1010-16번지","15","149.88","6","서울시 금천구 시흥동 안양천(국가) 합류점","114","15.27","27","2.780","시흥천-지방"
"1025540201510","안양천권역 하천기본계획","","한강","도림천","한강","안양천","도림천","","","","","1971-12-30","서울268호","서울특별시","서울시 관악구 신림동 808-126번지선","160","69.42","19","서울시 영등포구 문래동 안양천(국가) 합류점","716","13.95","82","11","도림천-지방"
"1025560201510","안양천권역 하천기본계획","","한강","대방천","한강","안양천","도림천","대방천","","","","1971-12-30","서울268호","서울특별시","서울시 동작구 상도동 34-43번지","50","38.18","7","서울시 영등포구 도림동 도림천(지방) 합류점","119","13.95","25","5.460","대방천-지방"
"1005090201210","중랑천 하천기본계획(변경)","","한강","중랑천","한강","중랑천","","","","","","1963-04-01","대통령령 제16535호","국토교통부","경기도 의정부시 장암동 시도경계선의 최북단에 위치한 점에서 동서로 그은 직선","1460","31.80","111","서울특별시 성동구 금호동 한강(국가)합류점","2400","17.05","440","20.810","중랑천_국가"
"1025310201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","전농천","한강","중랑천","전농천","","","","","1974-07-24","서울146호","서울특별시","서울특별시 동대문구 답십리동 신답로","65","12.48","9","서울특별시 성동구 송정동 청계천(지방)합류점","131","","13","2.340","전농천"
"1025180201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","도봉천1","한강","중랑천","도봉천(1)","","","","","1971-12-30","서울268호","서울특별시","서울시 도봉구 도봉동 산89-1임 산90임 번지 선","46","63.22","12","서울시 도봉구 도봉동 중랑천(국가) 합류점","165","28.43","84","2.300","도봉천1"
"1025180201211","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","도봉천2","한강","중랑천","도봉천(1)","도봉천(2)","","","","1971-12-30","서울268호","서울특별시"," 서울시 도봉구 도봉동 506전  507-1구 산65임 번지 선","91","62.39","16","서울시 도봉구 도봉동 도봉천(1) 합류점","91","29.23","31","1.340","도봉천2"
"1025190201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","방학천","한강","중랑천","방학천","","","","","1991-12-26","서울353호","서울특별시","서울특별시 도봉구 방학동 587-2번지선","15","44.29","7","서울특별시 도봉구 방학동 중랑천(국가)합류점","130","24.28","20","3.030","방학천"
"1025200201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","당현천","한강","중랑천","당현천","","","","","1971-12-30","서울268호","서울특별시","서울시 노원구 상계동 40-1308-2(중계)","30","86.31","7","서울시 노원구 상계동 중랑천(국가) 합류점","228","20.85","56","5.840","당현천"
"1025210201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","묵동천1","한강","중랑천","묵동천(1)","","","","","1971-12-30","서울268호","서울특별시","서울시 중랑구 신내동 670번지선","37","29.21","10","서울시 노원구 공릉동 중랑천(국가) 합류점","177","18.22","215","3.270","묵동천1"
"1025210201211","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","묵동천2","한강","중랑천","묵동천(1)","묵동천(2)","","","","1971-12-30","서울268호","서울특별시","서울시 중랑구 망우동 324-3구  327-1도  신내동 71-37도 번지 선","50","28.26","10","서울시 중랑구 신내동 묵동천(1) 합류점","69","20.95","31","1.440","묵동천2"
"1025220201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","우이천","한강","중랑천","우이천","","","","","1974-07-24","서울146호","서울특별시","서울특별시 강북구 우이동 200번지선 (북한교)","175","62.21","15","서울특별시 노원구 월계동 중랑천 합류점","440","18.15","152","8.520","우이천"
"1025230201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","대동천","한강","중랑천","우이천","대동천","","","","1971-12-30","서울268호","서울특별시","서울특별시 강북구 수유동 산74-1번지선","22","110.56","","서울특별시 강북구 수유동 우이천 합류점","63","37.24","5","1.670","대동천"
"1025240201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","가오천","한강","중랑천","우이천","가오천","","","","1971-12-30","서울268호","서울특별시","서울특별시 강북구 수유동 산124번지선","35","77.03","6","서울특별시 강북구 수유동 우이천 합류점","70","31.53","16","2.280","가오천"
"1025250201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","화계천","한강","중랑천","우이천","화계천","","","","1971-12-30","서울268호","서울특별시","서울특별시 강북구 수유동 산127-1번지선","20","92.92","4","서울특별시 강북구 번동 우이천 합류점","110","25.91","21","3.250","화계천"
"1025260201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","면목천","한강","중랑천","면목천","","","","","1971-12-30","서울268호","서울특별시","서울특별시 중랑구 면목동 120-4번지","122","17.94","16.500","서울특별시 중랑구 면목동 중랑천(국가) 합류점","205","17.05","24.400","1.910","면목천"
"1015270201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","청계천","한강","중랑천","청계천","","","","","1930-10-03","대통령령 제17315호","서울특별시","서울특별시 종로구 서린동 148번지","112","26.61","","서울특별시 성동구 용답동 중랑천(국가)합류점","710","17.05","415","8.100","청계천"
"1025280201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","성북천","한강","중랑천","청계천","성북천","","","","1971-12-30","서울268호","서울특별시","서울특별시 성북구 성북동 236번지선","31","66.83","2","서울특별시 동대문구 신설동 청계천합류점","166","17.05","36","5.160","성북천"
"1025290201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","정릉천","한강","중랑천","청계천","정릉천","","","","1971-12-30","서울268호","서울특별시","서울특별시 성북구 정릉동 산1-1번지선","81","153.44","","서울특별시 동대문구 용두동 청계천합류점","316","17.05","66","9.050","정릉천"
"1025300201210","중랑천권역(서울특별시) 하천기본계획(변경)","","한강","월곡천","한강","중랑천","청계천","정릉천","월곡천","","","1971-12-30","서울268호","서울특별시","서울특별시 강북구 미아동 837지선","23","62.06","3","서울특별시 성북구 하월곡동 정릉천합류점","105","25.57","44","3.500","월곡천"
